Blueberry_shoestring_virus	ICTV,Family:Solemoviridae,Genus:Sobemovirus,Species:Blueberry_shoestring_virus,nucl:75,prot:n.a.
Broad_bean_mottle_virus	ICTV,Family:Bromoviridae,Genus:Bromovirus,Species:Broad_bean_mottle_virus,nucl:50-80,prot:n.a.
Broad_bean_stain_virus	ICTV,Family:Secoviridae,Genus:Comovirus,Species:Broad_bean_stain_virus,nucl:n.a.,prot:75-80
Broad_bean_true_mosaic_virus	ICTV,Family:Secoviridae,Genus:Comovirus,Species:Broad_bean_true_mosaic_virus,nucl:n.a.,prot:75-80
Brome_mosaic_virus	ICTV,Family:Bromoviridae,Genus:Bromovirus,Species:Brome_mosaic_virus,nucl:65,prot:n.a.
Carnation_Italian_ringspot_virus	ICTV,Family:Tombusviridae,Genus:Tombusvirus,Species:Carnation_Italian_ringspot_virus,nucl:n.a.,prot:85
Cassava_American_latent_virus	ICTV,Family:Secoviridae,Genus:Nepovirus,Species:Cassava_American_latent_virus,nucl:n.a.,prot:75-80
Cassava_brown_streak_virus	ICTV,Family:Potyviridae,Genus:Ipomovirus,Species:Cassava_brown_streak_virus,nucl:76,prot:82
Cassava_common_mosaic_virus	ICTV,Family:Alphaflexiviridae,Genus:Potexvirus,Species:Cassava_common_mosaic_virus,nucl:72,prot:80
Cassava_green_mottle_virus	ICTV,Family:Secoviridae,Genus:Nepovirus,Species:Cassava_green_mottle_virus,nucl:n.a.,prot:75-80
Cassava_Ivorian_bacilliform_virus	ICTV,Family:Bromoviridae,Genus:Anulavirus,Species:Cassava_Ivorian_bacilliform_virus,nucl:50-80,prot:n.a.
Cassava_vein_mosaic_virus	ICTV,Family:Caulimoviridae,Genus:Cavemovirus,Species:Cassava_vein_mosaic_virus,nucl:80,prot:n.a.
Cassava_virus_X	ICTV,Family:Alphaflexiviridae,Genus:Potexvirus,Species:Cassava_virus_X,nucl:72,prot:80
Cherry_leaf_roll_virus	ICTV,Family:Secoviridae,Genus:Nepovirus,Species:Cherry_leaf_roll_virus,nucl:n.a.,prot:75-80
Cherry_mottle_virus	ICTV,Family:Betaflexiviridae,Genus:Trichovirus,Species:Cherry_mottle_virus,nucl:72,prot:80
Cherry_rasp_leaf_virus	ICTV,Family:Secoviridae,Genus:Cheravirus,Species:Cherry_rasp_leaf_virus,nucl:n.a.,prot:75-80
Cherry_virus_A-endemic	ICTV,Family:Betaflexiviridae,Genus:Capilovirus,Species:Cherry_virus_A-endemic,nucl:72,prot:80
Citrus_bark_cracking_viroid	ICTV,Family:Pospiviroidae,Genus:Cocadviroid,Species:Citrus_bark_cracking_viroid,nucl:90,prot:n.a.
Citrus_bent_leaf_viroid	ICTV,Family:Pospiviroidae,Genus:Apscaviroid,Species:Citrus_bent_leaf_viroid,nucl:90,prot:n.a.
Citrus_dwarfing_viroid	ICTV,Family:Pospiviroidae,Genus:Apscaviroid,Species:Citrus_dwarfing_viroid,nucl:90,prot:n.a.
Citrus_exocortis_viroid	ICTV,Family:Pospiviroidae,Genus:Pospiviroid,Species:Citrus_exocortis_viroid,nucl:90,prot:n.a.
Citrus_leaf_blotch_virus	ICTV,Family:Betaflexiviridae,Genus:Citrivirus,Species:Citrus_leaf_blotch_virus,nucl:n.a.,prot:n.a.
Citrus_leaf_rugose_virus	ICTV,Family:Bromoviridae,Genus:Ilarvirus,Species:Citrus_leaf_rugose_virus,nucl:n.a.,prot:n.a.
Citrus_leprosis_virus_C	ICTV,Family:Kitaviridae,Genus:Cilevirus,Species:Citrus_leprosis_virus_C,nucl:n.a.,prot:n.a.
Citrus_sudden_death_associated_virus	ICTV,Family:Tymoviridae,Genus:Marafivirus,Species:Citrus_sudden_death_associated_virus,nucl:80,prot:90
Citrus_tattler_leaf_virus-lily	ICTV,Family:Betaflexiviridae,Genus:Capilovirus,Species:Citrus_tattler_leaf_virus-lily,nucl:72,prot:80
Citrus_tristeza_virus	ICTV,Family:Closteroviridae,Genus:Closterovirus,Species:Citrus_tristeza_virus,nucl:n.a.,prot:75
Citrus_variegation_virus	ICTV,Family:Bromoviridae,Genus:Ilarvirus,Species:Citrus_variegation_virus,nucl:n.a.,prot:n.a.
Citrus_vein_enation_virus	ICTV,Family:Leoviridae,Genus:Enamovirus,Species:Citrus_vein_enation_virus,nucl:n.a.,prot:n.a.
Citrus_viroid_V	ICTV,Family:Pospiviroidae,Genus:Apscaviroid,Species:Citrus_viroid_V,nucl:90,prot:n.a.
Citrus_viroid_VI	ICTV,Family:Pospiviroidae,Genus:Apscaviroid,Species:Citrus_viroid_VI,nucl:90,prot:n.a.
Citrus_yellow_mosaic_virus	ICTV,Family:Caulimoviridae,Genus:Badnavirus,Species:Citrus_yellow_mosaic_virus,nucl:80,prot:n.a.
Cocksfoot_mild_mosaic_virus	ICTV,Family:Tombusviridae,Genus:Panicovirus,Species:Cocksfoot_mild_mosaic_virus,nucl:n.a.,prot:n.a.
Cocksfoot_streak_virus_Dasheen_mosaic_virus	ICTV,Family:Potyviridae,Genus:Potyvirus,Species:Cocksfoot_streak_virus_Dasheen_mosaic_virus,nucl:76,prot:82
Colocasia_bobone_disease-associated_cytorhabdovirus	ICTV,Family:Rhabdoviridae,Genus:Cytorhabdovirus,Species:Colocasia_bobone_disease-associated_cytorhabdovirus,nucl:75,prot:n.a.
East_African_cassava_mosaic_Cameroon_virus	ICTV,Family:Geminiviridae,Genus:Begomovirus,Species:East_African_cassava_mosaic_Cameroon_virus,nucl:91,prot:n.a.
East_African_cassava_mosaic_Malawi_virus	ICTV,Family:Geminiviridae,Genus:Begomovirus,Species:East_African_cassava_mosaic_Malawi_virus,nucl:91,prot:n.a.
East_African_Cassava_mosaic_virus	ICTV,Family:Geminiviridae,Genus:Begomovirus,Species:East_African_Cassava_mosaic_virus,nucl:91,prot:n.a.
East_African_cassava_mosaic_Zanzibar_virus	ICTV,Family:Geminiviridae,Genus:Begomovirus,Species:East_African_cassava_mosaic_Zanzibar_virus,nucl:91,prot:n.a.
East_Asian_plassiflora_virus	ICTV,Family:Potyviridae,Genus:Potyvirus,Species:East_Asian_plassiflora_virus,nucl:76,prot:82
